network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00RP5_00008_100,LV.LEGMC.AQ,24.115872000000003,56.950605999509605,EPSG:4979,LV0019A,STA-LV00RP5,Riga Park,LV.LEGMC.AQ,2021-11-22 17:00:00+01:00,2021-11-22 18:00:00+01:00,2021-11-22 18:26:13+01:00,+01:00,34.396484,1,3,8,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00RP5_00008_100,LV.LEGMC.AQ,24.115872000000003,56.950605999509605,EPSG:4979,LV0019A,STA-LV00RP5,Riga Park,LV.LEGMC.AQ,2021-11-23 19:00:00+01:00,2021-11-23 20:00:00+01:00,2021-11-23 20:25:03+01:00,+01:00,64.484375,1,3,8,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00RP5_00008_100,LV.LEGMC.AQ,24.115872000000003,56.950605999509605,EPSG:4979,LV0019A,STA-LV00RP5,Riga Park,LV.LEGMC.AQ,2021-11-23 09:00:00+01:00,2021-11-23 10:00:00+01:00,2021-11-23 10:22:03+01:00,+01:00,50.186523,1,3,8,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00RP5_00008_100,LV.LEGMC.AQ,24.115872000000003,56.950605999509605,EPSG:4979,LV0019A,STA-LV00RP5,Riga Park,LV.LEGMC.AQ,2021-11-22 22:00:00+01:00,2021-11-22 23:00:00+01:00,2021-11-23 01:31:07+01:00,+01:00,9.452148,1,3,8,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00VN1_00008_100,LV.LEGMC.AQ,21.591989000000005,57.40463299951311,EPSG:4979,LV0007A,STA-LV00VN1,Ventspils,LV.LEGMC.AQ,2021-11-23 19:00:00+01:00,2021-11-23 20:00:00+01:00,2021-11-23 20:25:03+01:00,+01:00,17.46,1,3,1,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00VN1_00008_100,LV.LEGMC.AQ,21.591989000000005,57.40463299951311,EPSG:4979,LV0007A,STA-LV00VN1,Ventspils,LV.LEGMC.AQ,2021-11-22 22:00:00+01:00,2021-11-22 23:00:00+01:00,2021-11-23 01:30:13+01:00,+01:00,20.49,1,3,1,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00VN1_00008_100,LV.LEGMC.AQ,21.591989000000005,57.40463299951311,EPSG:4979,LV0007A,STA-LV00VN1,Ventspils,LV.LEGMC.AQ,2021-11-23 09:00:00+01:00,2021-11-23 10:00:00+01:00,2021-11-23 10:22:03+01:00,+01:00,1.28,1,3,1,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00VN1_00008_100,LV.LEGMC.AQ,21.591989000000005,57.40463299951311,EPSG:4979,LV0007A,STA-LV00VN1,Ventspils,LV.LEGMC.AQ,2021-11-22 18:00:00+01:00,2021-11-22 19:00:00+01:00,2021-11-22 19:20:30+01:00,+01:00,22.21,1,3,1,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00VN1_00008_100,LV.LEGMC.AQ,21.591989000000005,57.40463299951311,EPSG:4979,LV0007A,STA-LV00VN1,Ventspils,LV.LEGMC.AQ,2021-11-24 05:00:00+01:00,2021-11-24 06:00:00+01:00,2021-11-24 07:22:02+01:00,+01:00,22.94,1,3,1,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV000L1_00008_100,LV.LEGMC.AQ,21.004694000000004,56.523174999506395,EPSG:4979,LV0012A,STA-LV000L1,Liepaja,LV.LEGMC.AQ,2021-11-22 18:00:00+01:00,2021-11-22 19:00:00+01:00,2021-11-22 19:20:30+01:00,+01:00,12.58,1,3,4,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV000L1_00008_100,LV.LEGMC.AQ,21.004694000000004,56.523174999506395,EPSG:4979,LV0012A,STA-LV000L1,Liepaja,LV.LEGMC.AQ,2021-11-22 22:00:00+01:00,2021-11-22 23:00:00+01:00,2021-11-23 01:30:53+01:00,+01:00,8.74,1,3,4,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV000L1_00008_100,LV.LEGMC.AQ,21.004694000000004,56.523174999506395,EPSG:4979,LV0012A,STA-LV000L1,Liepaja,LV.LEGMC.AQ,2021-11-22 15:00:00+01:00,2021-11-22 16:00:00+01:00,2021-11-22 16:25:02+01:00,+01:00,32.92,1,3,4,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00RZ1_00008_100,LV.LEGMC.AQ,27.333369,56.51020299950629,EPSG:4979,LV0008A,STA-LV00RZ1,Rezekne,LV.LEGMC.AQ,2021-11-23 19:00:00+01:00,2021-11-23 20:00:00+01:00,2021-11-23 20:25:03+01:00,+01:00,6.28,1,3,157,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00RZ1_00008_100,LV.LEGMC.AQ,27.333369,56.51020299950629,EPSG:4979,LV0008A,STA-LV00RZ1,Rezekne,LV.LEGMC.AQ,2021-11-22 18:00:00+01:00,2021-11-22 19:00:00+01:00,2021-11-22 19:20:30+01:00,+01:00,11.57,1,3,157,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00RZ1_00008_100,LV.LEGMC.AQ,27.333369,56.51020299950629,EPSG:4979,LV0008A,STA-LV00RZ1,Rezekne,LV.LEGMC.AQ,2021-11-22 15:00:00+01:00,2021-11-22 16:00:00+01:00,2021-11-22 16:25:01+01:00,+01:00,30.39,1,3,157,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00VN1_00008_100,LV.LEGMC.AQ,21.591989000000005,57.40463299951311,EPSG:4979,LV0007A,STA-LV00VN1,Ventspils,LV.LEGMC.AQ,2021-11-24 06:00:00+01:00,2021-11-24 07:00:00+01:00,2021-11-24 07:22:02+01:00,+01:00,49.038086,1,3,1,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00RP5_00008_100,LV.LEGMC.AQ,24.115872000000003,56.950605999509605,EPSG:4979,LV0019A,STA-LV00RP5,Riga Park,LV.LEGMC.AQ,2021-11-22 15:00:00+01:00,2021-11-22 16:00:00+01:00,2021-11-22 16:25:02+01:00,+01:00,51.068359,1,3,8,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00RP5_00008_100,LV.LEGMC.AQ,24.115872000000003,56.950605999509605,EPSG:4979,LV0019A,STA-LV00RP5,Riga Park,LV.LEGMC.AQ,2021-11-22 23:00:00+01:00,2021-11-23 00:00:00+01:00,2021-11-23 02:25:10+01:00,+01:00,5.802856,1,3,8,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00VN1_00008_100,LV.LEGMC.AQ,21.591989000000005,57.40463299951311,EPSG:4979,LV0007A,STA-LV00VN1,Ventspils,LV.LEGMC.AQ,2021-11-23 21:00:00+01:00,2021-11-23 22:00:00+01:00,2021-11-23 22:26:31+01:00,+01:00,11.13,1,3,1,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00VN1_00008_100,LV.LEGMC.AQ,21.591989000000005,57.40463299951311,EPSG:4979,LV0007A,STA-LV00VN1,Ventspils,LV.LEGMC.AQ,2021-11-23 17:00:00+01:00,2021-11-23 18:00:00+01:00,2021-11-23 19:22:52+01:00,+01:00,2.88,1,3,1,ug/m3
